ITERATION,STRATEGY_1_COST,STRATEGY_1_EFF,STRATEGY_2_COST,STRATEGY_2_EFF,STRATEGY_4_COST,STRATEGY_4_EFF,u_disutility_delta,t_max_fail,p_allo_success_de,u_disutility_off,p_hyper_D,p_die_hyper_D,p_allo_ae,p_flare,p_flare_uncon,p_flare_uncon_off,p_stop_low,p_stop_med,p_stop_hi,p_sto_ae_allo,u_flare,u_flare_ae,u_hyper
56,4672.171695,5.834113929,6606.604341,5.843190613,3006.576575,5.805099115,0.060012236,6.625252355,0.753769007,0.056538052,0.002938101,0.214264683,0.234555892,0.233771249,0.393958307,0.44084397,0.146284813,0.267124405,0.21152274,0.021731976,0.006062316,0.011265941,0.351890665
57,13488.2961,12.95763158,17516.25497,12.96414687,12079.63834,12.92900159,0.035632801,9.045468349,0.799870752,0.036742542,0.003881783,0.251870967,0.2117931,0.22107732,0.359307191,0.44339092,0.103283105,0.238332476,0.211985179,0.043041601,0.00468109,0.044662623,0.353561824
58,6619.919278,5.280731864,9110.914959,5.283199475,5057.787262,5.265578808,0.035564838,6.579150466,0.781314714,0.045001595,0.005615492,0.284521716,0.280123192,0.216227838,0.389616031,0.445926235,0.082332139,0.226953077,0.256609908,0.026368966,0.003519266,0.022815391,0.35662622
59,31720.37837,16.36507815,34843.22294,16.38089964,29770.89629,16.3579197,0.034985872,9.443906418,0.736721831,0.037766406,0.003633374,0.264421068,0.231314247,0.22037704,0.342839272,0.45532742,0.138773228,0.125635365,0.34855995,0.017114535,0.00230398,0.101832103,0.351178281
60,3715.233221,5.843472194,6714.365362,5.850382473,1908.57795,5.81527392,0.039447418,8.069507529,0.7736083,0.039671026,0.003783312,0.250142433,0.230761162,0.257130799,0.364170593,0.457688138,0.113002456,0.270552325,0.372841368,0.016131504,0.011431191,0.062848264,0.351389923
61,5790.433381,11.99060045,8893.357781,12.00476889,3979.594114,11.96326688,0.04924027,10.92910466,0.721107392,0.051451688,0.003367836,0.201816529,0.198977035,0.23810124,0.353839747,0.438940337,0.143932249,0.160731191,0.203844142,0.033012981,0.036985209,1.95E-08,0.359502859
62,4512.991033,7.472490033,7582.706248,7.495270768,2544.150407,7.427585825,0.059767372,5.943715756,0.671897749,0.025176755,0.003365828,0.341344512,0.189759895,0.236709107,0.381000233,0.459841374,0.118708532,0.176082379,0.240822063,0.030087967,0.008269806,0.032625944,0.35321973
63,20423.79554,16.35021114,23820.84933,16.37582663,18902.03992,16.30692988,0.04956174,5.81198453,0.721544758,0.038299339,0.003334798,0.347630095,0.210417549,0.235204182,0.394876836,0.421674005,0.135166805,0.279775547,0.436352779,0.027801267,0.00600307,0.003433759,0.345819972
64,6907.136071,14.42627125,9896.664801,14.43415252,5205.263456,14.38124022,0.060445779,5.373431008,0.815847486,0.036494283,0.004007692,0.304268155,0.221732113,0.239429983,0.327983582,0.434863001,0.06667556,0.213033559,0.327972659,0.037667279,0.007481802,0.003264575,0.354817151
65,3825.829539,9.917641225,7636.939872,9.927794064,2327.435363,9.896134654,0.044873987,5.779934982,0.814620109,0.048547493,0.006287026,0.227444996,0.253337372,0.249682438,0.384811408,0.455302362,0.14073359,0.105131063,0.244173464,0.031496752,0.003170323,0.000189696,0.348944486
66,7194.540293,15.42974743,10979.57649,15.42411517,5747.106914,15.40685524,0.050077466,10.50286535,0.871116785,0.052264145,0.003986538,0.315832068,0.188791149,0.230721453,0.384737694,0.471956798,0.130545049,0.295633717,0.322778907,0.02677593,0.010165653,0.283140695,0.348752537
67,10825.97958,14.9366913,15835.00368,14.96583235,8529.356958,14.89815404,0.051240558,9.921779202,0.797385141,0.041556223,0.005973006,0.287326166,0.236080734,0.219335157,0.335915903,0.447319017,0.098709449,0.138033064,0.287418525,0.028730748,0.010084544,0.000374138,0.352773753
68,14245.46003,12.68438135,16991.25872,12.69554562,12972.56398,12.63647227,0.05078228,5.722637031,0.725589012,0.034907406,0.00349707,0.221816998,0.283534095,0.211597702,0.361588734,0.474447031,0.052867936,0.182048501,0.297610308,0.019764186,0.002077673,0.217077745,0.355287106
69,7425.599493,15.37881302,10431.11115,15.38904617,5071.100182,15.35365588,0.045187456,9.692967243,0.805278184,0.051684932,0.004288656,0.274680392,0.220628022,0.228535454,0.338665041,0.424995531,0.106192335,0.224538709,0.154001008,0.047856517,0.006016327,1.51E-05,0.342672105
70,15729.61601,11.78160176,18565.47847,11.79430279,14121.55242,11.75426281,0.046073645,10.97683026,0.756363895,0.053528222,0.004550224,0.342197478,0.200732285,0.209799166,0.36951555,0.444872959,0.104136158,0.254045365,0.426617904,0.046598036,0.019663848,2.89E-12,0.352551066
71,7323.653896,8.896912569,9740.528254,8.91054302,5034.928833,8.880451468,0.052329437,6.408235344,0.785233466,0.031943345,0.002853571,0.297287977,0.222576553,0.201206203,0.35254797,0.458638162,0.138104564,0.228570545,0.25552611,0.022498945,0.002639993,0.002771236,0.34936547
72,29177.37498,12.92661932,32803.66006,12.93708837,28520.0068,12.87552589,0.037600779,5.490630483,0.778402266,0.037366369,0.004376166,0.228060738,0.244643927,0.227446403,0.390378305,0.476177654,0.081736362,0.275578305,0.218046301,0.018636089,9.43E-06,0.003843032,0.348573332
73,14542.49753,16.36203728,19308.90742,16.37859939,12948.75051,16.3319499,0.048455446,6.668341178,0.85086015,0.035356913,0.003880029,0.255376419,0.231887906,0.192699652,0.399265157,0.447900798,0.072686691,0.211702705,0.310373939,0.035193106,0.001991481,8.92E-05,0.355494074
74,11189.1541,13.71723288,14800.71609,13.72261701,9128.692776,13.68055101,0.058613313,8.870851058,0.787393305,0.034570822,0.003529286,0.319255895,0.238045603,0.222318713,0.359043561,0.424700722,0.111683286,0.251831541,0.221962748,0.053747232,0.00666973,0.012802797,0.34933464
75,10848.13855,14.40167051,14451.89921,14.42108861,9481.75612,14.37481946,0.05602808,7.154264085,0.754944029,0.041217602,0.004031499,0.317604745,0.22590629,0.237326279,0.350044796,0.416121858,0.108089219,0.147968869,0.439655281,0.050952515,0.002017635,0.00031102,0.352538329
76,3341.383212,5.511667165,5914.954416,5.513557852,1626.247884,5.476805019,0.051348086,7.996585909,0.805304852,0.040975246,0.005292287,0.292853889,0.215833626,0.225426272,0.343297346,0.454269997,0.08333574,0.206268304,0.418763379,0.033148345,0.005063365,0.000643576,0.362956003
77,3060.34023,8.015991848,6923.923506,8.038045355,1600.175495,7.984570348,0.058421943,9.089758763,0.695174108,0.030170847,0.002804924,0.183983623,0.25718824,0.210323569,0.337653361,0.427524912,0.12774224,0.116198916,0.380535935,0.022622467,0.012164039,0.025914497,0.343732321
78,16770.42293,15.65127679,20870.946,15.66855628,15126.78112,15.6023389,0.041209482,10.98684124,0.765878201,0.041610443,0.004649903,0.271364562,0.219963032,0.24287589,0.397749948,0.461703477,0.05591112,0.299612468,0.281522509,0.024033204,0.00016497,0.150125523,0.353416683
79,11817.86057,6.646671529,14433.56128,6.651801594,10228.54868,6.634333534,0.044940018,10.19091741,0.772478406,0.037701469,0.003853104,0.288660962,0.237520278,0.228484439,0.393161636,0.427073552,0.089276254,0.117861823,0.285956841,0.019796073,0.00354149,0.040714022,0.348188801
